name,well,conc
C3m,A1,63.45
P1d,A2,59.1
P1m,A3,46.8
P2d,A4,69
P3d,A5,30
P3m,A6,28.7
P4d,A7,61
P4m,A8,84.4
P5d,A9,32
P6d,A10,35
P7d,A11,69
P8d,A12,32
P9d,B1,33
P9m,B2,108
P10d,B3,65
P12m,B4,34
P15m,B5,29
P16m,B6,66
P18m,B7,43
P30m,B8,44
P32m,B9,50.5
P33m,B10,44
P34m,B11,70
P35m,B12,64
P37m,C1,41
P38m,C2,26
P57m,C3,20
P58m,C4,73
P59m,C5,22
P60m,C6,78
P61m,C7,25
P66m,C8,12.5
T1d,C9,53
T1m,C10,50.95
T2m,C11,35
T7m,C12,60
T12m,D1,24
T13m,D2,50
T14m,D3,132
T15m,D4,17
T16m,D5,62
T17m,D6,19
T18m,D7,23
U1d,D8,65
U2d,D9,62
U2m,D10,48
U3d,D11,49
U3m,D12,39
U4d,E1,54
U4m,E2,29.95
U5d,E3,55
U5m,E4,32
U6d,E5,39
U6m,E6,45
U7m,E7,75
U8m,E8,54
U9m,E9,15
U17m,E10,14
U19m,E11,44
U22m,E12,19
U24m,F1,36
U25m,F2,38
V7d,F3,160
V37m,F4,33
